client | 11:26:28 >> [Main] starting 500 threads with 15 batch size
client | 11:26:28 >> [Thread 1] Client started; opening data_2.csv
client | 11:26:28 >> [Thread 2] Client started; opening data_3.csv
client | 11:26:28 >> [Thread 3] Client started; opening data_4.csv
client | 11:26:28 >> [Thread 4] Client started; opening data_5.csv
client | 11:26:28 >> [Thread 2] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 5] Client started; opening data_6.csv
client | 11:26:28 >> [Thread 1] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 6] Client started; opening data_7.csv
client | 11:26:28 >> [Thread 3] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 6] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 4] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 7] Client started; opening data_8.csv
client | 11:26:28 >> [Thread 8] Client started; opening data_9.csv
client | 11:26:28 >> [Thread 5] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 9] Client started; opening data_10.csv
client | 11:26:28 >> [Thread 10] Client started; opening data_11.csv
client | 11:26:28 >> [Thread 11] Client started; opening data_1.csv
client | 11:26:28 >> [Thread 7] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 8] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 12] Client started; opening data_2.csv
client | 11:26:28 >> [Thread 9] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 13] Client started; opening data_3.csv
client | 11:26:28 >> [Thread 10] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 14] Client started; opening data_4.csv
client | 11:26:28 >> [Thread 15] Client started; opening data_5.csv
client | 11:26:28 >> [Thread 11] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 12] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 16] Client started; opening data_6.csv
client | 11:26:28 >> [Thread 17] Client started; opening data_7.csv
client | 11:26:28 >> [Thread 13] Enqueuing batch nr 1
client | 11:26:28 >> [Thread 18] Client started; opening data_8.csv
client | 11:26:28 >> [Thread 19] Client started; opening data_9.csv
client | 11:26:28 >> [Thread 20] Client started; opening data_10.csv
client | 11:26:28 >> [Thread 14] Enqueuing batch nr 1
